"","Date","Open","High","Low","Close","Volume","Change","Order","RSI","EMA","S.P500"
"1687",2017-08-11,22.469999,24.790001,21.01,23.440001,29630700,5.210199876,"sell",71.57755041,18.23712507,2441.320068
"1688",2017-08-14,19.77,19.84,17.200001,17.290001,14494200,-30.43156498,"hold",46.40911605,18.12569871,2465.840088
"1689",2017-08-15,16.4,17.690001,16.370001,17.049999,13701900,-1.397821245,"hold",45.73328798,17.9991458,2464.610107
"1690",2017-08-16,17.02,17.280001,16.540001,16.870001,19427100,-1.061318924,"buy",45.20163945,17.86630524,2468.110107
"1691",2017-08-17,17.67,22.440001,17.209999,22.280001,50332100,27.81525041,"sell",60.183595,18.38556356,2430.01001
"1692",2017-08-18,21.139999,22.620001,19.16,21.25,41442100,-4.733256457,"sell",56.98899142,18.72255609,2425.550049
"1693",2017-08-21,20.889999,21.85,19.48,19.540001,17763900,-8.389319758,"sell",52.04933308,18.81872608,2428.370117
"1694",2017-08-22,18.41,18.469999,16.66,16.790001,17194500,-15.16801671,"hold",45.25571823,18.58005254,2452.51001
"1695",2017-08-23,18.1,18.32,16.85,16.99,23343000,1.184140504,"buy",45.80968945,18.39298753,2444.040039
"1696",2017-08-24,16.83,18.620001,16.58,17.9,37291600,5.217577716,"sell",48.36975386,18.334989,2438.969971
"1697",2017-08-25,17.24,17.610001,16.77,16.9,23973100,-5.748709092,"hold",45.80868996,18.16616676,2443.050049
"1698",2017-08-28,16.49,17.290001,16.469999,16.66,19343200,-1.430298519,"buy",45.19026452,17.98897067,2444.23999
"1699",2017-08-29,19.030001,19.16,16.9,17.01,26933600,2.079076967,"hold",46.32822433,17.87379765,2446.300049
"1700",2017-08-30,16.950001,17.23,16.610001,16.84,13136100,-1.004439759,"sell",45.83049943,17.7521744,2457.590088
"1701",2017-08-31,16.57,16.68,15.88,15.97,16170400,-5.304504659,"hold",43.26854713,17.54250682,2471.649902
"1702",2017-09-01,15.67,15.98,15.56,15.91,11350200,-0.376411988,"buy",43.08964888,17.3504472,2476.550049
"1703",2017-09-05,16.99,18.9,16.34,17.52,39658400,9.639524316,"sell",49.16355725,17.37039459,2457.850098
"1704",2017-09-06,16.83,17.65,16.700001,16.76,17717700,-4.434799045,"hold",46.63340587,17.29858346,2465.540039
